Chromosome,Start,B
2L,360001,0.441096
2L,361001,0.441068
2L,362001,0.441038
2L,363001,0.441004
2L,364001,0.440968
2L,365001,0.440929
2L,366001,0.440887
2L,367001,0.440842
2L,368001,0.440794
2L,369001,0.440744
2L,370001,0.440690
2L,371001,0.440634
2L,372001,0.440575
2L,373001,0.440512
2L,374001,0.440447
2L,375001,0.440379
2L,376001,0.440308
2L,377001,0.440234
2L,378001,0.440158
2L,379001,0.440078
2L,380001,0.451920
2L,381001,0.451751
2L,382001,0.451578
2L,383001,0.451403
2L,384001,0.451224
2L,385001,0.451050
2L,386001,0.450879
2L,387001,0.450721
2L,388001,0.450570
2L,389001,0.450415
2L,390001,0.450257
2L,391001,0.450095
2L,392001,0.449930
2L,393001,0.449761
2L,394001,0.449589
2L,395001,0.449414
2L,396001,0.449235
2L,397001,0.449063
2L,398001,0.448920
2L,399001,0.448798
2L,400001,0.460354
2L,401001,0.460151
2L,402001,0.459964
2L,403001,0.459776
2L,404001,0.459585
2L,405001,0.459409
2L,406001,0.459262
2L,407001,0.459145
2L,408001,0.459051
2L,409001,0.458959
2L,410001,0.458880
2L,411001,0.458828
2L,412001,0.458802
2L,413001,0.458791
2L,414001,0.458780
2L,415001,0.458766
2L,416001,0.458767
2L,417001,0.458797
2L,418001,0.458843
2L,419001,0.458902
2L,420001,0.471564
2L,421001,0.471616
2L,422001,0.471684
2L,423001,0.471761
2L,424001,0.471852
2L,425001,0.471970
2L,426001,0.472095
2L,427001,0.472216
2L,428001,0.472335
2L,429001,0.472450
2L,430001,0.472562
2L,431001,0.472671
2L,432001,0.472777
2L,433001,0.472880
2L,434001,0.472979
2L,435001,0.473076
2L,436001,0.473169
2L,437001,0.473260
2L,438001,0.473348
2L,439001,0.473439
2L,440001,0.505501
2L,441001,0.505882
2L,442001,0.506191
2L,443001,0.506449
2L,444001,0.506770
2L,445001,0.507201
2L,446001,0.507742
2L,447001,0.508374
2L,448001,0.508996
2L,449001,0.509573
2L,450001,0.510210
2L,451001,0.510895
2L,452001,0.511528
2L,453001,0.512112
2L,454001,0.512748
2L,455001,0.513392
2L,456001,0.514000
2L,457001,0.514666
2L,458001,0.515429
2L,459001,0.516211
2L,460001,0.570611
2L,461001,0.571789
2L,462001,0.573145
2L,463001,0.574696
2L,464001,0.576450
2L,465001,0.578342
2L,466001,0.580142
2L,467001,0.581805
2L,468001,0.583338
2L,469001,0.584747
2L,470001,0.586035
2L,471001,0.587207
2L,472001,0.588263
2L,473001,0.589243
2L,474001,0.590375
2L,475001,0.591694
2L,476001,0.593124
2L,477001,0.594552
2L,478001,0.596170
2L,479001,0.597814
2L,480001,0.644969
2L,481001,0.646100
2L,482001,0.647162
2L,483001,0.648160
2L,484001,0.649096
2L,485001,0.649975
2L,486001,0.650800
2L,487001,0.651574
2L,488001,0.652299
2L,489001,0.652977
2L,490001,0.653611
2L,491001,0.654206
2L,492001,0.654774
2L,493001,0.655303
2L,494001,0.655794
2L,495001,0.656250
2L,496001,0.656670
2L,497001,0.657056
2L,498001,0.657408
2L,499001,0.657729
2L,500001,0.689093
2L,501001,0.689076
2L,502001,0.689024
2L,503001,0.688937
2L,504001,0.688814
2L,505001,0.688655
2L,506001,0.688462
2L,507001,0.688232
2L,508001,0.687967
2L,509001,0.687665
2L,510001,0.687327
2L,511001,0.686951
2L,512001,0.686538
2L,513001,0.686085
2L,514001,0.685593
2L,515001,0.685060
2L,516001,0.684486
2L,517001,0.683868
2L,518001,0.683205
2L,519001,0.682496
2L,520001,0.703808
2L,521001,0.702817
2L,522001,0.701775
2L,523001,0.700680
2L,524001,0.699533
2L,525001,0.698335
2L,526001,0.697089
2L,527001,0.695779
2L,528001,0.694400
2L,529001,0.692946
2L,530001,0.691415
2L,531001,0.689800
2L,532001,0.688096
2L,533001,0.686298
2L,534001,0.684398
2L,535001,0.682388
2L,536001,0.680329
2L,537001,0.678475
2L,538001,0.676831
2L,539001,0.675440
2L,540001,0.687937
2L,541001,0.686729
2L,542001,0.685493
2L,543001,0.684252
2L,544001,0.683117
2L,545001,0.682058
2L,546001,0.681059
2L,547001,0.680185
2L,548001,0.679391
2L,549001,0.678585
2L,550001,0.677687
2L,551001,0.676691
2L,552001,0.675738
2L,553001,0.674681
2L,554001,0.673548
2L,555001,0.672561
2L,556001,0.671766
2L,557001,0.671173
2L,558001,0.670753
2L,559001,0.670390
2L,560001,0.677400
2L,561001,0.677049
2L,562001,0.676860
2L,563001,0.676829
2L,564001,0.676786
2L,565001,0.676837
2L,566001,0.677063
2L,567001,0.677420
2L,568001,0.677908
2L,569001,0.678474
2L,570001,0.679206
2L,571001,0.680129
2L,572001,0.681244
2L,573001,0.682465
2L,574001,0.683783
2L,575001,0.685150
2L,576001,0.686563
2L,577001,0.688001
2L,578001,0.689393
2L,579001,0.690900
2L,580001,0.697844
2L,581001,0.699140
2L,582001,0.700356
2L,583001,0.701496
2L,584001,0.702581
2L,585001,0.703654
2L,586001,0.704661
2L,587001,0.705601
2L,588001,0.706485
2L,589001,0.707312
2L,590001,0.708075
2L,591001,0.708776
2L,592001,0.709434
2L,593001,0.710119
2L,594001,0.710884
2L,595001,0.711711
2L,596001,0.712484
2L,597001,0.713203
2L,598001,0.713868
2L,599001,0.714481
2L,600001,0.721318
2L,601001,0.721769
2L,602001,0.722170
2L,603001,0.722573
2L,604001,0.723005
2L,605001,0.723390
2L,606001,0.723728
2L,607001,0.724019
2L,608001,0.724263
2L,609001,0.724461
2L,610001,0.724612
2L,611001,0.724716
2L,612001,0.724773
2L,613001,0.724782
2L,614001,0.724743
2L,615001,0.724655
2L,616001,0.724517
2L,617001,0.724329
2L,618001,0.724088
2L,619001,0.723794
2L,620001,0.728998
2L,621001,0.728588
2L,622001,0.728207
2L,623001,0.727769
2L,624001,0.727276
2L,625001,0.726843
2L,626001,0.726609
2L,627001,0.726626
2L,628001,0.726870
2L,629001,0.727133
2L,630001,0.727334
2L,631001,0.727474
2L,632001,0.727552
2L,633001,0.727570
2L,634001,0.727526
2L,635001,0.727421
2L,636001,0.727253
2L,637001,0.727021
2L,638001,0.726723
2L,639001,0.726359
2L,640001,0.731220
2L,641001,0.730598
2L,642001,0.730167
2L,643001,0.729965
2L,644001,0.729987
2L,645001,0.730211
2L,646001,0.730565
2L,647001,0.730882
2L,648001,0.731189
2L,649001,0.731640
2L,650001,0.732262
2L,651001,0.732914
2L,652001,0.733519
2L,653001,0.734142
2L,654001,0.734813
2L,655001,0.735553
2L,656001,0.736387
2L,657001,0.737298
2L,658001,0.738270
2L,659001,0.739206
2L,660001,0.745429
2L,661001,0.746099
2L,662001,0.746743
2L,663001,0.747362
2L,664001,0.747958
2L,665001,0.748529
2L,666001,0.749079
2L,667001,0.749606
2L,668001,0.750112
2L,669001,0.750598
2L,670001,0.751063
2L,671001,0.751509
2L,672001,0.751936
2L,673001,0.752345
2L,674001,0.752735
2L,675001,0.753108
2L,676001,0.753463
2L,677001,0.753802
2L,678001,0.754123
2L,679001,0.754429
2L,680001,0.759273
2L,681001,0.759482
2L,682001,0.759674
2L,683001,0.759849
2L,684001,0.760008
2L,685001,0.760151
2L,686001,0.760277
2L,687001,0.760387
2L,688001,0.760481
2L,689001,0.760559
2L,690001,0.760620
2L,691001,0.760665
2L,692001,0.760694
2L,693001,0.760706
2L,694001,0.760702
2L,695001,0.760680
2L,696001,0.760642
2L,697001,0.760587
2L,698001,0.760514
2L,699001,0.760424
2L,700001,0.763996
2L,701001,0.763776
2L,702001,0.763539
2L,703001,0.763282
2L,704001,0.763006
2L,705001,0.762711
2L,706001,0.762457
2L,707001,0.762409
2L,708001,0.762518
2L,709001,0.762625
2L,710001,0.762712
2L,711001,0.762778
2L,712001,0.762825
2L,713001,0.762851
2L,714001,0.762858
2L,715001,0.762845
2L,716001,0.762812
2L,717001,0.762760
2L,718001,0.762687
2L,719001,0.762595
2L,720001,0.767024
2L,721001,0.766669
2L,722001,0.766296
2L,723001,0.765904
2L,724001,0.765492
2L,725001,0.765060
2L,726001,0.764607
2L,727001,0.764133
2L,728001,0.763642
2L,729001,0.763256
2L,730001,0.763090
2L,731001,0.763020
2L,732001,0.762931
2L,733001,0.762819
2L,734001,0.762683
2L,735001,0.762525
2L,736001,0.762343
2L,737001,0.762138
2L,738001,0.761937
2L,739001,0.761833
2L,740001,0.770195
2L,741001,0.770285
2L,742001,0.770367
2L,743001,0.770389
2L,744001,0.770354
2L,745001,0.770261
2L,746001,0.770111
2L,747001,0.769905
2L,748001,0.769643
2L,749001,0.769323
2L,750001,0.768946
2L,751001,0.768509
2L,752001,0.768012
2L,753001,0.767499
2L,754001,0.767107
2L,755001,0.766763
2L,756001,0.766510
2L,757001,0.766390
2L,758001,0.766381
2L,759001,0.766414
2L,760001,0.775341
2L,761001,0.775929
2L,762001,0.776474
2L,763001,0.776906
2L,764001,0.777230
2L,765001,0.777451
2L,766001,0.777572
2L,767001,0.777596
2L,768001,0.777526
2L,769001,0.777361
2L,770001,0.777102
2L,771001,0.776749
2L,772001,0.776300
2L,773001,0.775759
2L,774001,0.775243
2L,775001,0.774677
2L,776001,0.774012
2L,777001,0.773358
2L,778001,0.772629
2L,779001,0.771820
2L,780001,0.778463
2L,781001,0.777508
2L,782001,0.776757
2L,783001,0.776212
2L,784001,0.775586
2L,785001,0.775130
2L,786001,0.775060
2L,787001,0.775314
2L,788001,0.775962
2L,789001,0.776780
2L,790001,0.777493
2L,791001,0.778139
2L,792001,0.778679
2L,793001,0.779105
2L,794001,0.779421
2L,795001,0.779632
2L,796001,0.779741
2L,797001,0.779749
2L,798001,0.779658
2L,799001,0.779468
2L,800001,0.785505
2L,801001,0.784923
2L,802001,0.784238
2L,803001,0.783446
2L,804001,0.782543
2L,805001,0.781525
2L,806001,0.780387
2L,807001,0.779122
2L,808001,0.777722
2L,809001,0.776179
2L,810001,0.774485
2L,811001,0.772792
2L,812001,0.771327
2L,813001,0.770183
2L,814001,0.769317
2L,815001,0.768761
2L,816001,0.768447
2L,817001,0.768393
2L,818001,0.768540
2L,819001,0.768779
2L,820001,0.775067
2L,821001,0.775404
2L,822001,0.775675
2L,823001,0.775902
2L,824001,0.776269
2L,825001,0.776804
2L,826001,0.777560
2L,827001,0.778187
2L,828001,0.778643
2L,829001,0.778940
2L,830001,0.779275
2L,831001,0.779766
2L,832001,0.780452
2L,833001,0.781045
2L,834001,0.781488
2L,835001,0.781896
2L,836001,0.782524
2L,837001,0.783391
2L,838001,0.784345
2L,839001,0.785175
2L,840001,0.792244
2L,841001,0.792832
2L,842001,0.793270
2L,843001,0.793563
2L,844001,0.793712
2L,845001,0.793719
2L,846001,0.793585
2L,847001,0.793308
2L,848001,0.792885
2L,849001,0.792312
2L,850001,0.791641
2L,851001,0.790880
2L,852001,0.790272
2L,853001,0.789867
2L,854001,0.789649
2L,855001,0.789516
2L,856001,0.789385
2L,857001,0.789182
2L,858001,0.788795
2L,859001,0.788221
2L,860001,0.793517
2L,861001,0.792593
2L,862001,0.791861
2L,863001,0.791389
2L,864001,0.791366
2L,865001,0.791562
2L,866001,0.791554
2L,867001,0.791275
2L,868001,0.790725
2L,869001,0.790142
2L,870001,0.789753
2L,871001,0.789133
2L,872001,0.788442
2L,873001,0.788085
2L,874001,0.787906
2L,875001,0.787556
2L,876001,0.787486
2L,877001,0.787617
2L,878001,0.787833
2L,879001,0.788304
2L,880001,0.795937
2L,881001,0.797007
2L,882001,0.798415
2L,883001,0.800166
2L,884001,0.802271
2L,885001,0.804606
2L,886001,0.806806
2L,887001,0.808781
2L,888001,0.810548
2L,889001,0.812125
2L,890001,0.813523
2L,891001,0.814753
2L,892001,0.815822
2L,893001,0.816737
2L,894001,0.817500
2L,895001,0.818112
2L,896001,0.818574
2L,897001,0.818881
2L,898001,0.819031
2L,899001,0.819248
2L,900001,0.826036
2L,901001,0.827262
2L,902001,0.828543
2L,903001,0.829680
2L,904001,0.830684
2L,905001,0.831561
2L,906001,0.832319
2L,907001,0.832961
2L,908001,0.833490
2L,909001,0.833907
2L,910001,0.834210
2L,911001,0.834398
2L,912001,0.834466
2L,913001,0.834406
2L,914001,0.834258
2L,915001,0.834330
2L,916001,0.834872
2L,917001,0.835977
2L,918001,0.837427
2L,919001,0.838799
2L,920001,0.845031
2L,921001,0.846163
2L,922001,0.847205
2L,923001,0.848166
2L,924001,0.849052
2L,925001,0.849869
2L,926001,0.850622
2L,927001,0.851316
2L,928001,0.851953
2L,929001,0.852537
2L,930001,0.853084
2L,931001,0.853636
2L,932001,0.854146
2L,933001,0.854611
2L,934001,0.855034
2L,935001,0.855414
2L,936001,0.855754
2L,937001,0.856053
2L,938001,0.856312
2L,939001,0.856530
2L,940001,0.861661
2L,941001,0.861624
2L,942001,0.861541
2L,943001,0.861410
2L,944001,0.861228
2L,945001,0.860992
2L,946001,0.860697
2L,947001,0.860337
2L,948001,0.859906
2L,949001,0.859396
2L,950001,0.858804
2L,951001,0.858179
2L,952001,0.857803
2L,953001,0.858059
2L,954001,0.858600
2L,955001,0.859042
2L,956001,0.859425
2L,957001,0.860135
2L,958001,0.861043
2L,959001,0.861879
2L,960001,0.867097
2L,961001,0.867737
2L,962001,0.868315
2L,963001,0.868838
2L,964001,0.869312
2L,965001,0.869741
2L,966001,0.870131
2L,967001,0.870484
2L,968001,0.870804
2L,969001,0.871093
2L,970001,0.871355
2L,971001,0.871590
2L,972001,0.871801
2L,973001,0.871989
2L,974001,0.872155
2L,975001,0.872302
2L,976001,0.872428
2L,977001,0.872536
2L,978001,0.872627
2L,979001,0.872699
2L,980001,0.876102
2L,981001,0.876074
2L,982001,0.876031
2L,983001,0.875973
2L,984001,0.875900
2L,985001,0.875811
2L,986001,0.875707
2L,987001,0.875588
2L,988001,0.875452
2L,989001,0.875300
2L,990001,0.875131
2L,991001,0.874944
2L,992001,0.874738
2L,993001,0.874513
2L,994001,0.874268
2L,995001,0.874001
2L,996001,0.873710
2L,997001,0.873396
2L,998001,0.873055
2L,999001,0.872685
2L,1000001,0.873462
2L,1001001,0.872991
2L,1002001,0.872482
2L,1003001,0.871932
2L,1004001,0.871337
2L,1005001,0.870693
2L,1006001,0.869993
2L,1007001,0.869232
2L,1008001,0.868403
2L,1009001,0.867496
2L,1010001,0.866502
2L,1011001,0.865408
2L,1012001,0.864200
2L,1013001,0.862860
2L,1014001,0.861536
2L,1015001,0.860708
2L,1016001,0.860477
2L,1017001,0.860915
2L,1018001,0.861773
2L,1019001,0.862540
2L,1020001,0.862272
2L,1021001,0.862705
2L,1022001,0.863020
2L,1023001,0.863222
2L,1024001,0.863317
2L,1025001,0.863307
2L,1026001,0.863250
2L,1027001,0.863434
2L,1028001,0.863590
2L,1029001,0.863649
2L,1030001,0.863614
2L,1031001,0.863484
2L,1032001,0.863259
2L,1033001,0.862938
2L,1034001,0.862771
2L,1035001,0.862720
2L,1036001,0.862562
2L,1037001,0.862331
2L,1038001,0.862504
2L,1039001,0.862970
2L,1040001,0.861437
2L,1041001,0.861570
2L,1042001,0.861627
2L,1043001,0.861621
2L,1044001,0.861554
2L,1045001,0.861417
2L,1046001,0.861212
2L,1047001,0.860936
2L,1048001,0.860591
2L,1049001,0.860172
2L,1050001,0.859676
2L,1051001,0.859100
2L,1052001,0.858542
2L,1053001,0.858380
2L,1054001,0.858281
2L,1055001,0.858093
2L,1056001,0.857820
2L,1057001,0.857460
2L,1058001,0.857013
2L,1059001,0.856476
2L,1060001,0.854097
2L,1061001,0.853436
2L,1062001,0.853139
2L,1063001,0.852943
2L,1064001,0.852664
2L,1065001,0.852303
2L,1066001,0.851861
2L,1067001,0.851337
2L,1068001,0.850730
2L,1069001,0.850038
2L,1070001,0.849258
2L,1071001,0.848386
2L,1072001,0.847416
2L,1073001,0.846342
2L,1074001,0.845157
2L,1075001,0.843851
2L,1076001,0.842412
2L,1077001,0.840828
2L,1078001,0.839193
2L,1079001,0.837944
2L,1080001,0.835784
2L,1081001,0.835248
2L,1082001,0.834941
2L,1083001,0.834878
2L,1084001,0.834798
2L,1085001,0.835071
2L,1086001,0.835570
2L,1087001,0.835992
2L,1088001,0.836340
2L,1089001,0.836577
2L,1090001,0.836672
2L,1091001,0.836631
2L,1092001,0.836458
2L,1093001,0.836156
2L,1094001,0.835723
2L,1095001,0.835161
2L,1096001,0.834466
2L,1097001,0.833635
2L,1098001,0.832662
2L,1099001,0.831541
2L,1100001,0.829638
2L,1101001,0.828014
2L,1102001,0.826206
2L,1103001,0.824201
2L,1104001,0.822215
2L,1105001,0.820653
2L,1106001,0.819531
2L,1107001,0.818821
2L,1108001,0.818405
2L,1109001,0.818145
2L,1110001,0.818265
2L,1111001,0.818570
2L,1112001,0.819079
2L,1113001,0.819830
2L,1114001,0.820764
2L,1115001,0.821562
2L,1116001,0.822268
2L,1117001,0.822975
2L,1118001,0.823565
2L,1119001,0.823984
2L,1120001,0.824372
2L,1121001,0.824368
2L,1122001,0.824201
2L,1123001,0.823871
2L,1124001,0.823378
2L,1125001,0.822718
2L,1126001,0.821886
2L,1127001,0.820877
2L,1128001,0.819726
2L,1129001,0.818488
2L,1130001,0.817252
2L,1131001,0.816439
2L,1132001,0.815962
2L,1133001,0.815733
2L,1134001,0.815890
2L,1135001,0.816058
2L,1136001,0.816083
2L,1137001,0.815894
2L,1138001,0.815498
2L,1139001,0.815160
2L,1140001,0.816050
2L,1141001,0.815694
2L,1142001,0.815064
2L,1143001,0.814160
2L,1144001,0.812995
2L,1145001,0.811555
2L,1146001,0.810242
2L,1147001,0.809226
2L,1148001,0.808208
2L,1149001,0.807546
2L,1150001,0.807183
2L,1151001,0.807011
2L,1152001,0.806872
2L,1153001,0.806968
2L,1154001,0.807236
2L,1155001,0.807545
2L,1156001,0.807769
2L,1157001,0.807724
2L,1158001,0.807344
2L,1159001,0.806754
2L,1160001,0.806821
2L,1161001,0.806390
2L,1162001,0.806245
2L,1163001,0.805885
2L,1164001,0.805118
2L,1165001,0.804285
2L,1166001,0.803794
2L,1167001,0.803524
2L,1168001,0.803533
2L,1169001,0.803870
2L,1170001,0.804334
2L,1171001,0.804853
2L,1172001,0.805617
2L,1173001,0.806422
2L,1174001,0.807277
2L,1175001,0.808067
2L,1176001,0.809028
2L,1177001,0.810302
2L,1178001,0.811544
2L,1179001,0.812759
2L,1180001,0.814787
2L,1181001,0.816022
2L,1182001,0.817614
2L,1183001,0.819504
2L,1184001,0.821744
2L,1185001,0.824351
2L,1186001,0.827090
2L,1187001,0.829536
2L,1188001,0.831694
2L,1189001,0.833587
2L,1190001,0.835230
2L,1191001,0.836638
2L,1192001,0.838108
2L,1193001,0.839813
2L,1194001,0.841347
2L,1195001,0.842680
2L,1196001,0.843871
2L,1197001,0.845032
2L,1198001,0.846031
2L,1199001,0.847173
2L,1200001,0.849441
2L,1201001,0.850796
2L,1202001,0.852121
2L,1203001,0.853299
2L,1204001,0.854377
2L,1205001,0.855613
2L,1206001,0.856821
2L,1207001,0.857918
2L,1208001,0.858913
2L,1209001,0.859813
2L,1210001,0.860623
2L,1211001,0.861348
2L,1212001,0.861990
2L,1213001,0.862550
2L,1214001,0.863031
2L,1215001,0.863430
2L,1216001,0.863747
2L,1217001,0.863978
2L,1218001,0.864119
2L,1219001,0.864203
2L,1220001,0.864564
2L,1221001,0.864835
2L,1222001,0.865006
2L,1223001,0.865077
2L,1224001,0.865045
2L,1225001,0.864907
2L,1226001,0.864655
2L,1227001,0.864283
2L,1228001,0.864054
2L,1229001,0.864436
2L,1230001,0.865092
2L,1231001,0.865634
2L,1232001,0.866058
2L,1233001,0.866368
2L,1234001,0.866567
2L,1235001,0.866657
2L,1236001,0.866634
2L,1237001,0.866494
2L,1238001,0.866229
2L,1239001,0.865829
2L,1240001,0.865001
2L,1241001,0.865060
2L,1242001,0.865664
2L,1243001,0.866372
2L,1244001,0.867005
2L,1245001,0.867572
2L,1246001,0.868078
2L,1247001,0.868529
