Chromosome,Start,B
2L,230001,0.000000
2L,231001,0.000000
2L,232001,0.000000
2L,233001,0.000000
2L,234001,0.000000
2L,235001,0.000000
2L,236001,0.000000
2L,237001,0.000000
2L,238001,0.000000
2L,239001,0.000000
2L,240001,0.000000
2L,241001,0.000000
2L,242001,0.000000
2L,243001,0.000000
2L,244001,0.000000
2L,245001,0.000000
2L,246001,0.000000
2L,247001,0.000000
2L,248001,0.000000
2L,249001,0.000000
2L,250001,0.000000
2L,251001,0.000000
2L,252001,0.000000
2L,253001,0.000000
2L,254001,0.000000
2L,255001,0.000000
2L,256001,0.000002
2L,257001,0.000005
2L,258001,0.000009
2L,259001,0.000014
2L,260001,0.019707
2L,261001,0.019986
2L,262001,0.012560
2L,263001,0.002147
2L,264001,0.000001
2L,265001,0.000001
2L,266001,0.000155
2L,267001,0.003474
2L,268001,0.003131
2L,269001,0.000071
2L,270001,0.000001
2L,271001,0.000049
2L,272001,0.000001
2L,273001,0.000007
2L,274001,0.000006
2L,275001,0.000001
2L,276001,0.000009
2L,277001,0.000160
2L,278001,0.000014
2L,279001,0.000001
2L,280001,0.000001
2L,281001,0.000193
2L,282001,0.000085
2L,283001,0.001202
2L,284001,0.001351
2L,285001,0.003195
2L,286001,0.004095
2L,287001,0.001007
2L,288001,0.000097
2L,289001,0.016646
2L,290001,0.021342
2L,291001,0.027185
2L,292001,0.009150
2L,293001,0.001610
2L,294001,0.001629
2L,295001,0.000672
2L,296001,0.000173
2L,297001,0.017723
2L,298001,0.022308
2L,299001,0.000495
2L,300001,0.042191
2L,301001,0.048487
2L,302001,0.009875
2L,303001,0.145723
2L,304001,0.276292
2L,305001,0.355562
2L,306001,0.405734
2L,307001,0.437923
2L,308001,0.457621
2L,309001,0.467590
2L,310001,0.469062
2L,311001,0.462207
2L,312001,0.446245
2L,313001,0.419280
2L,314001,0.377825
2L,315001,0.315882
2L,316001,0.223729
2L,317001,0.090625
2L,318001,0.002543
2L,319001,0.008308
2L,320001,0.002636
2L,321001,0.004538
2L,322001,0.000413
2L,323001,0.032692
2L,324001,0.068656
2L,325001,0.023392
2L,326001,0.015770
2L,327001,0.003335
2L,328001,0.000003
2L,329001,0.000035
2L,330001,0.000004
2L,331001,0.000008
2L,332001,0.011984
2L,333001,0.044029
2L,334001,0.038417
2L,335001,0.021891
2L,336001,0.006617
2L,337001,0.021052
2L,338001,0.044772
2L,339001,0.035708
2L,340001,0.053119
2L,341001,0.060355
2L,342001,0.010698
2L,343001,0.000129
2L,344001,0.000061
2L,345001,0.014761
2L,346001,0.133879
2L,347001,0.264720
2L,348001,0.357888
2L,349001,0.417259
2L,350001,0.449031
2L,351001,0.455399
2L,352001,0.433304
2L,353001,0.372398
2L,354001,0.252478
2L,355001,0.069953
2L,356001,0.000191
2L,357001,0.010746
2L,358001,0.176712
2L,359001,0.359919
2L,360001,0.488215
2L,361001,0.565460
2L,362001,0.617092
2L,363001,0.652906
2L,364001,0.678440
2L,365001,0.696944
2L,366001,0.710400
2L,367001,0.720059
2L,368001,0.726723
2L,369001,0.730908
2L,370001,0.732935
2L,371001,0.732983
2L,372001,0.731110
2L,373001,0.727270
2L,374001,0.721299
2L,375001,0.712893
2L,376001,0.701555
2L,377001,0.686504
2L,378001,0.666495
2L,379001,0.639490
2L,380001,0.611501
2L,381001,0.555900
2L,382001,0.469124
2L,383001,0.316956
2L,384001,0.062241
2L,385001,0.059684
2L,386001,0.007614
2L,387001,0.054740
2L,388001,0.243633
2L,389001,0.351458
2L,390001,0.391058
2L,391001,0.389254
2L,392001,0.357236
2L,393001,0.298182
2L,394001,0.212125
2L,395001,0.104113
2L,396001,0.014140
2L,397001,0.000009
2L,398001,0.000085
2L,399001,0.001709
2L,400001,0.000024
2L,401001,0.001236
2L,402001,0.020499
2L,403001,0.019197
2L,404001,0.001293
2L,405001,0.000002
2L,406001,0.000002
2L,407001,0.000041
2L,408001,0.003423
2L,409001,0.000759
2L,410001,0.000004
2L,411001,0.000006
2L,412001,0.000469
2L,413001,0.010713
2L,414001,0.017551
2L,415001,0.001551
2L,416001,0.000006
2L,417001,0.000383
2L,418001,0.000816
2L,419001,0.000393
2L,420001,0.000537
2L,421001,0.000450
2L,422001,0.002655
2L,423001,0.001651
2L,424001,0.000039
2L,425001,0.021742
2L,426001,0.139668
2L,427001,0.266764
2L,428001,0.368258
2L,429001,0.445981
2L,430001,0.505324
2L,431001,0.550560
2L,432001,0.584433
2L,433001,0.608215
2L,434001,0.621408
2L,435001,0.620246
2L,436001,0.591753
2L,437001,0.480873
2L,438001,0.146035
2L,439001,0.453130
2L,440001,0.698837
2L,441001,0.737717
2L,442001,0.609898
2L,443001,0.078397
2L,444001,0.032045
2L,445001,0.031431
2L,446001,0.043138
2L,447001,0.392927
2L,448001,0.571431
2L,449001,0.091462
2L,450001,0.159187
2L,451001,0.678448
2L,452001,0.683305
2L,453001,0.153604
2L,454001,0.372169
2L,455001,0.578238
2L,456001,0.108535
2L,457001,0.056728
2L,458001,0.345387
2L,459001,0.729680
2L,460001,0.427139
2L,461001,0.140872
2L,462001,0.137495
2L,463001,0.139986
2L,464001,0.188569
2L,465001,0.818249
2L,466001,0.915777
2L,467001,0.935903
2L,468001,0.943425
2L,469001,0.945368
2L,470001,0.942233
2L,471001,0.928830
2L,472001,0.857610
2L,473001,0.249516
2L,474001,0.258349
2L,475001,0.301978
2L,476001,0.741372
2L,477001,0.178088
2L,478001,0.674464
2L,479001,0.834437
2L,480001,0.948375
2L,481001,0.960872
2L,482001,0.965889
2L,483001,0.968676
2L,484001,0.970441
2L,485001,0.971640
2L,486001,0.972483
2L,487001,0.973059
2L,488001,0.973362
2L,489001,0.973101
2L,490001,0.968580
2L,491001,0.911840
2L,492001,0.972191
2L,493001,0.974499
2L,494001,0.975123
2L,495001,0.975440
2L,496001,0.975647
2L,497001,0.975799
2L,498001,0.975917
2L,499001,0.976011
2L,500001,0.977731
2L,501001,0.977776
2L,502001,0.977808
2L,503001,0.977828
2L,504001,0.977837
2L,505001,0.977836
2L,506001,0.977825
2L,507001,0.977804
2L,508001,0.977773
2L,509001,0.977732
2L,510001,0.977679
2L,511001,0.977615
2L,512001,0.977538
2L,513001,0.977447
2L,514001,0.977340
2L,515001,0.977213
2L,516001,0.977064
2L,517001,0.976887
2L,518001,0.976672
2L,519001,0.976404
2L,520001,0.976849
2L,521001,0.976312
2L,522001,0.975227
2L,523001,0.964477
2L,524001,0.943603
2L,525001,0.907845
2L,526001,0.970587
2L,527001,0.972513
2L,528001,0.972006
2L,529001,0.970773
2L,530001,0.968861
2L,531001,0.965948
2L,532001,0.961224
2L,533001,0.952535
2L,534001,0.932034
2L,535001,0.821268
2L,536001,0.188495
2L,537001,0.232300
2L,538001,0.150078
2L,539001,0.201559
2L,540001,0.749754
2L,541001,0.616656
2L,542001,0.570058
2L,543001,0.268456
2L,544001,0.372027
2L,545001,0.331599
2L,546001,0.181471
2L,547001,0.323121
2L,548001,0.576686
2L,549001,0.687048
2L,550001,0.822077
2L,551001,0.286710
2L,552001,0.802407
2L,553001,0.697779
2L,554001,0.133645
2L,555001,0.115405
2L,556001,0.099783
2L,557001,0.126913
2L,558001,0.248641
2L,559001,0.468408
2L,560001,0.266080
2L,561001,0.069705
2L,562001,0.070617
2L,563001,0.455695
2L,564001,0.158814
2L,565001,0.065005
2L,566001,0.109619
2L,567001,0.079868
2L,568001,0.224712
2L,569001,0.072869
2L,570001,0.061288
2L,571001,0.063002
2L,572001,0.198437
2L,573001,0.152314
2L,574001,0.312415
2L,575001,0.338719
2L,576001,0.365704
2L,577001,0.710347
2L,578001,0.157402
2L,579001,0.559270
2L,580001,0.886257
2L,581001,0.923835
2L,582001,0.930859
2L,583001,0.885531
2L,584001,0.600149
2L,585001,0.926775
2L,586001,0.946064
2L,587001,0.860978
2L,588001,0.932137
2L,589001,0.949518
2L,590001,0.939415
2L,591001,0.881584
2L,592001,0.471638
2L,593001,0.435080
2L,594001,0.488198
2L,595001,0.904526
2L,596001,0.945239
2L,597001,0.957161
2L,598001,0.961707
2L,599001,0.962640
2L,600001,0.959709
2L,601001,0.944806
2L,602001,0.743132
2L,603001,0.590428
2L,604001,0.937351
2L,605001,0.960825
2L,606001,0.967151
2L,607001,0.969705
2L,608001,0.970881
2L,609001,0.971380
2L,610001,0.971458
2L,611001,0.971202
2L,612001,0.970622
2L,613001,0.969660
2L,614001,0.968178
2L,615001,0.965888
2L,616001,0.962168
2L,617001,0.955441
2L,618001,0.940443
2L,619001,0.885985
2L,620001,0.355675
2L,621001,0.631622
2L,622001,0.883351
2L,623001,0.856660
2L,624001,0.463418
2L,625001,0.131645
2L,626001,0.070734
2L,627001,0.078756
2L,628001,0.614129
2L,629001,0.882840
2L,630001,0.925529
2L,631001,0.941568
2L,632001,0.948747
2L,633001,0.951671
2L,634001,0.951837
2L,635001,0.949532
2L,636001,0.944169
2L,637001,0.933802
2L,638001,0.912876
2L,639001,0.860606
2L,640001,0.627446
2L,641001,0.059485
2L,642001,0.045476
2L,643001,0.045294
2L,644001,0.066716
2L,645001,0.175304
2L,646001,0.706244
2L,647001,0.636861
2L,648001,0.109171
2L,649001,0.100034
2L,650001,0.477061
2L,651001,0.802131
2L,652001,0.556737
2L,653001,0.454808
2L,654001,0.310701
2L,655001,0.235569
2L,656001,0.419639
2L,657001,0.443963
2L,658001,0.874733
2L,659001,0.928104
2L,660001,0.945984
2L,661001,0.954557
2L,662001,0.959935
2L,663001,0.963603
2L,664001,0.966251
2L,665001,0.968245
2L,666001,0.969794
2L,667001,0.971026
2L,668001,0.972026
2L,669001,0.972849
2L,670001,0.973534
2L,671001,0.974111
2L,672001,0.974599
2L,673001,0.975015
2L,674001,0.975369
2L,675001,0.975672
2L,676001,0.975930
2L,677001,0.976148
2L,678001,0.976331
2L,679001,0.976481
2L,680001,0.976689
2L,681001,0.976775
2L,682001,0.976833
2L,683001,0.976864
2L,684001,0.976866
2L,685001,0.976838
2L,686001,0.976779
2L,687001,0.976685
2L,688001,0.976551
2L,689001,0.976371
2L,690001,0.976137
2L,691001,0.975837
2L,692001,0.975456
2L,693001,0.974971
2L,694001,0.974351
2L,695001,0.973549
2L,696001,0.972498
2L,697001,0.971090
2L,698001,0.969152
2L,699001,0.966388
2L,700001,0.962309
2L,701001,0.955709
2L,702001,0.944190
2L,703001,0.921070
2L,704001,0.861596
2L,705001,0.552304
2L,706001,0.042711
2L,707001,0.134975
2L,708001,0.748239
2L,709001,0.890539
2L,710001,0.930630
2L,711001,0.947837
2L,712001,0.956732
2L,713001,0.961822
2L,714001,0.964884
2L,715001,0.966734
2L,716001,0.967775
2L,717001,0.968208
2L,718001,0.968124
2L,719001,0.967526
2L,720001,0.966514
2L,721001,0.964548
2L,722001,0.961471
2L,723001,0.956597
2L,724001,0.948480
2L,725001,0.933654
2L,726001,0.901841
2L,727001,0.807425
2L,728001,0.293607
2L,729001,0.038649
2L,730001,0.319058
2L,731001,0.810098
2L,732001,0.895929
2L,733001,0.921764
2L,734001,0.928444
2L,735001,0.921908
2L,736001,0.892145
2L,737001,0.740682
2L,738001,0.168283
2L,739001,0.234947
2L,740001,0.302897
2L,741001,0.821425
2L,742001,0.937542
2L,743001,0.956425
2L,744001,0.963586
2L,745001,0.966844
2L,746001,0.968215
2L,747001,0.968332
2L,748001,0.967256
2L,749001,0.964531
2L,750001,0.958577
2L,751001,0.943192
2L,752001,0.860772
2L,753001,0.348506
2L,754001,0.616073
2L,755001,0.398163
2L,756001,0.370793
2L,757001,0.374722
2L,758001,0.623854
2L,759001,0.221708
2L,760001,0.234978
2L,761001,0.874790
2L,762001,0.950142
2L,763001,0.964155
2L,764001,0.969728
2L,765001,0.972516
2L,766001,0.974037
2L,767001,0.974842
2L,768001,0.975137
2L,769001,0.974940
2L,770001,0.974027
2L,771001,0.971417
2L,772001,0.960602
2L,773001,0.676756
2L,774001,0.921211
2L,775001,0.951147
2L,776001,0.682112
2L,777001,0.926948
2L,778001,0.924797
2L,779001,0.621799
2L,780001,0.896884
2L,781001,0.386420
2L,782001,0.371115
2L,783001,0.858012
2L,784001,0.445604
2L,785001,0.198017
2L,786001,0.275250
2L,787001,0.198211
2L,788001,0.455994
2L,789001,0.910059
2L,790001,0.800170
2L,791001,0.953735
2L,792001,0.967470
2L,793001,0.971568
2L,794001,0.973672
2L,795001,0.974918
2L,796001,0.975689
2L,797001,0.976156
2L,798001,0.976404
2L,799001,0.976474
2L,800001,0.976468
2L,801001,0.976205
2L,802001,0.975752
2L,803001,0.975060
2L,804001,0.974037
2L,805001,0.972509
2L,806001,0.970136
2L,807001,0.966151
2L,808001,0.958398
2L,809001,0.937275
2L,810001,0.648982
2L,811001,0.329754
2L,812001,0.215978
2L,813001,0.260177
2L,814001,0.211659
2L,815001,0.293546
2L,816001,0.240292
2L,817001,0.283858
2L,818001,0.491614
2L,819001,0.568026
2L,820001,0.276838
2L,821001,0.732669
2L,822001,0.739556
2L,823001,0.360479
2L,824001,0.438959
2L,825001,0.321556
2L,826001,0.895547
2L,827001,0.940034
2L,828001,0.930313
2L,829001,0.570837
2L,830001,0.469923
2L,831001,0.328709
2L,832001,0.885199
2L,833001,0.932280
2L,834001,0.780591
2L,835001,0.311471
2L,836001,0.390407
2L,837001,0.607199
2L,838001,0.941769
2L,839001,0.962969
2L,840001,0.969920
2L,841001,0.973098
2L,842001,0.974645
2L,843001,0.975394
2L,844001,0.975624
2L,845001,0.975392
2L,846001,0.974576
2L,847001,0.972687
2L,848001,0.967582
2L,849001,0.867377
2L,850001,0.865797
2L,851001,0.543741
2L,852001,0.478386
2L,853001,0.480889
2L,854001,0.628246
2L,855001,0.660216
2L,856001,0.838295
2L,857001,0.957785
2L,858001,0.960509
2L,859001,0.947306
2L,860001,0.676682
2L,861001,0.479274
2L,862001,0.420451
2L,863001,0.285367
2L,864001,0.426454
2L,865001,0.921137
2L,866001,0.954869
2L,867001,0.951365
2L,868001,0.737253
2L,869001,0.422945
2L,870001,0.916610
2L,871001,0.701498
2L,872001,0.338491
2L,873001,0.441185
2L,874001,0.862021
2L,875001,0.312400
2L,876001,0.418952
2L,877001,0.507698
2L,878001,0.370974
2L,879001,0.298601
2L,880001,0.293639
2L,881001,0.321891
2L,882001,0.319680
2L,883001,0.332127
2L,884001,0.413367
2L,885001,0.874237
2L,886001,0.959836
2L,887001,0.969099
2L,888001,0.972922
2L,889001,0.974929
2L,890001,0.976070
2L,891001,0.976692
2L,892001,0.976920
2L,893001,0.976756
2L,894001,0.976068
2L,895001,0.974445
2L,896001,0.970603
2L,897001,0.958592
2L,898001,0.754191
2L,899001,0.298437
2L,900001,0.292759
2L,901001,0.794663
2L,902001,0.960233
2L,903001,0.971443
2L,904001,0.975256
2L,905001,0.976976
2L,906001,0.977808
2L,907001,0.978139
2L,908001,0.978091
2L,909001,0.977636
2L,910001,0.976581
2L,911001,0.974334
2L,912001,0.968802
2L,913001,0.943353
2L,914001,0.555316
2L,915001,0.374211
2L,916001,0.324387
2L,917001,0.475130
2L,918001,0.940335
2L,919001,0.967986
2L,920001,0.974495
2L,921001,0.977232
2L,922001,0.978677
2L,923001,0.979536
2L,924001,0.980080
2L,925001,0.980426
2L,926001,0.980618
2L,927001,0.980623
2L,928001,0.980161
2L,929001,0.975789
2L,930001,0.895976
2L,931001,0.978360
2L,932001,0.980749
2L,933001,0.981246
2L,934001,0.981441
2L,935001,0.981536
2L,936001,0.981584
2L,937001,0.981601
2L,938001,0.981595
2L,939001,0.981567
2L,940001,0.981572
2L,941001,0.981483
2L,942001,0.981355
2L,943001,0.981170
2L,944001,0.980903
2L,945001,0.980503
2L,946001,0.979872
2L,947001,0.978789
2L,948001,0.976628
2L,949001,0.970244
2L,950001,0.881737
2L,951001,0.657072
2L,952001,0.357788
2L,953001,0.625279
2L,954001,0.952263
2L,955001,0.948101
2L,956001,0.547858
2L,957001,0.701940
2L,958001,0.965499
2L,959001,0.975791
2L,960001,0.978732
2L,961001,0.980036
2L,962001,0.980739
2L,963001,0.981169
2L,964001,0.981454
2L,965001,0.981655
2L,966001,0.981803
2L,967001,0.981914
2L,968001,0.982000
2L,969001,0.982068
2L,970001,0.982123
2L,971001,0.982167
2L,972001,0.982204
2L,973001,0.982234
2L,974001,0.982258
2L,975001,0.982279
2L,976001,0.982296
2L,977001,0.982310
2L,978001,0.982321
2L,979001,0.982330
2L,980001,0.982367
2L,981001,0.982371
2L,982001,0.982372
2L,983001,0.982373
2L,984001,0.982371
2L,985001,0.982368
2L,986001,0.982363
2L,987001,0.982357
2L,988001,0.982348
2L,989001,0.982338
2L,990001,0.982326
2L,991001,0.982311
2L,992001,0.982294
2L,993001,0.982274
2L,994001,0.982250
2L,995001,0.982222
2L,996001,0.982190
2L,997001,0.982151
2L,998001,0.982105
2L,999001,0.982051
2L,1000001,0.981979
2L,1001001,0.981898
2L,1002001,0.981798
2L,1003001,0.981673
2L,1004001,0.981513
2L,1005001,0.981304
2L,1006001,0.981024
2L,1007001,0.980633
2L,1008001,0.980063
2L,1009001,0.979177
2L,1010001,0.977669
2L,1011001,0.974700
2L,1012001,0.966921
2L,1013001,0.885113
2L,1014001,0.397823
2L,1015001,0.379419
2L,1016001,0.349239
2L,1017001,0.488429
2L,1018001,0.942093
2L,1019001,0.921319
2L,1020001,0.973746
2L,1021001,0.976868
2L,1022001,0.977915
2L,1023001,0.977858
2L,1024001,0.975886
2L,1025001,0.960916
2L,1026001,0.619862
2L,1027001,0.957822
2L,1028001,0.975916
2L,1029001,0.978238
2L,1030001,0.978442
2L,1031001,0.977154
2L,1032001,0.970974
2L,1033001,0.748572
2L,1034001,0.801764
2L,1035001,0.966979
2L,1036001,0.956473
2L,1037001,0.549843
2L,1038001,0.670005
2L,1039001,0.964967
2L,1040001,0.975374
2L,1041001,0.977797
2L,1042001,0.960187
2L,1043001,0.971172
2L,1044001,0.979829
2L,1045001,0.980184
2L,1046001,0.980150
2L,1047001,0.979838
2L,1048001,0.979100
2L,1049001,0.977379
2L,1050001,0.972209
2L,1051001,0.927028
2L,1052001,0.404628
2L,1053001,0.884575
2L,1054001,0.970489
2L,1055001,0.976321
2L,1056001,0.977802
2L,1057001,0.977808
2L,1058001,0.976409
2L,1059001,0.971291
2L,1060001,0.941233
2L,1061001,0.415757
2L,1062001,0.811322
2L,1063001,0.966132
2L,1064001,0.974926
2L,1065001,0.977544
2L,1066001,0.978599
2L,1067001,0.979042
2L,1068001,0.979164
2L,1069001,0.979067
2L,1070001,0.978776
2L,1071001,0.978260
2L,1072001,0.977436
2L,1073001,0.976113
2L,1074001,0.973864
2L,1075001,0.969545
2L,1076001,0.958877
2L,1077001,0.892978
2L,1078001,0.311529
2L,1079001,0.271961
2L,1080001,0.408548
2L,1081001,0.476409
2L,1082001,0.421434
2L,1083001,0.848060
2L,1084001,0.308920
2L,1085001,0.462549
2L,1086001,0.887665
2L,1087001,0.813233
2L,1088001,0.951429
2L,1089001,0.971735
2L,1090001,0.975055
2L,1091001,0.976480
2L,1092001,0.977204
2L,1093001,0.977548
2L,1094001,0.977630
2L,1095001,0.977491
2L,1096001,0.977122
2L,1097001,0.976468
2L,1098001,0.975406
2L,1099001,0.973673
2L,1100001,0.970630
2L,1101001,0.964599
2L,1102001,0.947937
2L,1103001,0.707653
2L,1104001,0.261426
2L,1105001,0.267862
2L,1106001,0.270633
2L,1107001,0.328821
2L,1108001,0.512657
2L,1109001,0.276727
2L,1110001,0.454301
2L,1111001,0.432067
2L,1112001,0.454934
2L,1113001,0.379325
2L,1114001,0.900450
2L,1115001,0.778426
2L,1116001,0.716264
2L,1117001,0.878406
2L,1118001,0.966324
2L,1119001,0.972683
2L,1120001,0.974638
2L,1121001,0.975451
2L,1122001,0.975658
2L,1123001,0.975373
2L,1124001,0.974496
2L,1125001,0.972609
2L,1126001,0.968104
2L,1127001,0.942021
2L,1128001,0.766582
2L,1129001,0.744349
2L,1130001,0.264593
2L,1131001,0.315948
2L,1132001,0.494122
2L,1133001,0.269083
2L,1134001,0.715345
2L,1135001,0.862894
2L,1136001,0.955283
2L,1137001,0.949125
2L,1138001,0.653649
2L,1139001,0.392126
2L,1140001,0.918304
2L,1141001,0.963186
2L,1142001,0.965055
2L,1143001,0.925354
2L,1144001,0.945506
2L,1145001,0.562646
2L,1146001,0.366085
2L,1147001,0.720012
2L,1148001,0.308488
2L,1149001,0.386326
2L,1150001,0.466582
2L,1151001,0.613550
2L,1152001,0.380680
2L,1153001,0.475043
2L,1154001,0.538466
2L,1155001,0.719171
2L,1156001,0.925883
2L,1157001,0.954710
2L,1158001,0.890547
2L,1159001,0.473221
2L,1160001,0.505770
2L,1161001,0.400357
2L,1162001,0.811206
2L,1163001,0.888357
2L,1164001,0.645249
2L,1165001,0.365104
2L,1166001,0.445602
2L,1167001,0.388285
2L,1168001,0.367101
2L,1169001,0.475635
2L,1170001,0.528944
2L,1171001,0.415516
2L,1172001,0.552551
2L,1173001,0.497323
2L,1174001,0.662470
2L,1175001,0.438610
2L,1176001,0.386155
2L,1177001,0.668423
2L,1178001,0.568112
2L,1179001,0.667056
2L,1180001,0.435271
2L,1181001,0.373713
2L,1182001,0.458707
2L,1183001,0.405299
2L,1184001,0.447918
2L,1185001,0.617511
2L,1186001,0.954918
2L,1187001,0.969091
2L,1188001,0.972683
2L,1189001,0.972935
2L,1190001,0.967531
2L,1191001,0.770825
2L,1192001,0.596550
2L,1193001,0.961010
2L,1194001,0.972012
2L,1195001,0.963543
2L,1196001,0.807879
2L,1197001,0.962662
2L,1198001,0.703483
2L,1199001,0.748823
2L,1200001,0.710392
2L,1201001,0.886397
2L,1202001,0.971769
2L,1203001,0.965976
2L,1204001,0.674574
2L,1205001,0.949853
2L,1206001,0.976820
2L,1207001,0.979355
2L,1208001,0.980239
2L,1209001,0.980662
2L,1210001,0.980889
2L,1211001,0.981005
2L,1212001,0.981038
2L,1213001,0.980990
2L,1214001,0.980835
2L,1215001,0.980491
2L,1216001,0.979722
2L,1217001,0.977602
2L,1218001,0.966468
2L,1219001,0.604770
2L,1220001,0.915240
2L,1221001,0.974992
2L,1222001,0.978312
2L,1223001,0.978879
2L,1224001,0.978343
2L,1225001,0.976317
2L,1226001,0.969079
2L,1227001,0.788041
2L,1228001,0.427091
2L,1229001,0.682009
2L,1230001,0.965127
2L,1231001,0.975486
2L,1232001,0.978120
2L,1233001,0.979060
2L,1234001,0.979291
2L,1235001,0.979011
2L,1236001,0.978074
2L,1237001,0.975763
2L,1238001,0.968933
2L,1239001,0.916462
2L,1240001,0.306505
2L,1241001,0.272670
2L,1242001,0.792127
2L,1243001,0.958611
2L,1244001,0.971460
2L,1245001,0.975895
2L,1246001,0.977991
2L,1247001,0.979151
